,T1
0,19.898649984702754
1,19.82501582632292
2,19.824975648175204
3,19.879059584162146
4,19.955104574163265
5,19.71622911139004
6,19.985405402073624
7,19.899370686003813
8,19.784046301298982
9,19.968646258172548
10,19.967876589261664
11,20.270494799353816
12,20.128510993197548
13,20.406435875829693
14,20.456368998053343
15,20.60081960019414
16,20.71300311120473
17,20.804631406176387
18,21.01566314930795
19,20.76147356348452
20,20.820584533159682
21,20.944242287663442
22,21.088720019136886
23,21.016012186163962
24,21.0835309522798
25,21.176269423021868
26,21.290107543842968
27,21.495427006256747
28,21.42656810568289
29,21.633971027221452
30,21.59745455743901
31,21.53468192136158
32,21.519450514769936
33,21.647647830342425
34,21.592044929192163
35,21.792663027990297
36,21.478120026279484
37,21.4725093441262
38,21.458988739110662
39,21.49684954874596
40,21.375613236452672
41,21.27604750578551
42,21.542986901611126
43,21.279959601155696
44,21.24182488676228
45,21.226746480636717
46,21.16786595701345
47,21.043978218751235
48,21.056321499273086
49,20.927572679634828
50,21.02238928942434
51,20.750906299371533
52,20.886720557984177
53,21.029262732439324
54,20.73414539907504
55,21.00152958980786
56,20.70888276505148
57,20.896403353514096
58,20.52573813645048
59,20.545363081491846
60,20.74699175685313
61,20.505969748034765
62,20.560188428588518
63,20.390593783992955
64,20.263972813544637
65,20.384758909682947
66,20.311970504239916
67,20.357359861394187
68,20.220904226689864
69,20.14060809809169
70,20.159278539954574
71,20.173153485532545
72,20.154397768348108
73,20.26119806493618
74,20.056809177128255
75,20.145487967796587
76,19.915735359507398
77,19.93520881018848
78,19.880467925455214
79,19.855860811952788
80,19.77623144758069
81,20.10611971783812
82,19.79122769575214
83,19.8485354792249
84,19.755549142731393
85,19.725284968064265
86,19.702559666739038
87,19.94128766084471
88,19.90125702529201
89,19.843411070300906
90,19.746658033739358
91,19.97334612867501
92,19.89843277487798
93,19.954713501243376
94,19.98809698479404
95,20.049687759134176
96,19.767572457650434
97,19.73269524873029
98,19.910681427507544
99,19.868077392945803
100,19.524713200203234
101,19.670590408374185
102,19.807851198656106
103,19.740121409083702
104,19.728689597847396
105,19.63254055290466
106,19.764535949114748
107,20.075044065206235
108,19.87369752021269
109,20.05904394308949
110,19.946764721579665
111,19.883293293108075
112,19.977282828292726
113,19.957256398418444
114,19.90071292202086
115,19.860128674194254
116,20.145401638692576
117,20.12208329305902
118,19.967104308701998
119,20.0446587144115
120,20.107726109881614
121,19.99251489685018
122,19.99073552109894
123,20.155456472021417
124,20.116701600796546
125,19.92090343206147
126,19.972727754013462
127,20.091685940796363
128,20.08096308951273
129,19.943937333777768
130,20.04960687259225
131,19.92819963314703
132,19.814928481114077
133,19.94708179626337
134,19.9730792724469
135,19.899915640959765
136,20.09319759699345
137,20.09550337035266
138,19.999552227433746
139,20.229407084088372
140,20.175515022130348
141,20.28958679113039
142,20.11528182746345
143,20.086029239860267
144,19.890655845198378
145,20.01772198623445
146,19.889528144070013
147,19.983427951384748
148,19.94007895725776
149,20.00985438217008
150,19.98285008805824
151,19.863362868639953
152,19.99360419358256
153,20.134138702525327
154,20.156427213899466
155,20.119843764666047
156,20.087993469343818
157,20.05531782758763
158,20.024220816552077
159,20.19925151364441
160,20.20559149041964
161,19.9808481043249
162,20.258352795723752
163,20.124945080452576
164,20.005657392636206
165,20.11448045126791
166,20.067839306614523
167,19.686920177789524
168,20.25230461501357
169,19.824935941681726
170,20.077573832025454
171,19.858339151388254
172,19.961465071815677
173,19.84945534244089
174,19.695157480006863
175,19.6164085268638
176,19.5046664236132
177,19.672754993689406
178,19.720201901622254
179,19.62398346634549
180,19.69999105092649
181,19.366389892754512
182,19.310353048952773
183,19.429352895807718
184,19.591630890318374
185,19.497178134617904
186,19.492986138640628
187,19.336034605261272
188,19.515960303383654
189,19.420126512967936
190,19.242938669498415
191,19.541661799324228
192,19.372045075421287
193,19.18186979800777
194,19.325046816696926
