,0,1
0,2016-04-02 22:20:00,0
1,2016-04-02 22:30:00,1
2,2016-04-02 22:40:00,2
3,2016-04-02 22:50:00,3
4,2016-04-02 23:00:00,4
5,2016-04-02 23:10:00,5
6,2016-04-02 23:20:00,6
7,2016-04-02 23:30:00,7
8,2016-04-02 23:40:00,8
9,2016-04-02 23:50:00,9
10,2016-04-03 00:00:00,10
11,2016-04-03 00:10:00,11
12,2016-04-06 15:50:00,537
13,2016-04-06 16:00:00,538
14,2016-04-06 16:10:00,539
15,2016-04-06 16:20:00,540
16,2016-04-06 16:30:00,541
17,2016-04-06 16:40:00,542
18,2016-04-06 16:50:00,543
19,2016-04-06 17:00:00,544
20,2016-04-06 17:10:00,545
21,2016-04-06 17:20:00,546
22,2016-04-06 17:30:00,547
23,2016-04-06 17:40:00,548
24,2016-04-06 17:50:00,549
25,2016-04-06 18:00:00,550
26,2016-04-06 18:10:00,551
27,2016-04-06 18:20:00,552
28,2016-04-06 18:30:00,553
29,2016-04-06 18:40:00,554
30,2016-04-06 18:50:00,555
31,2016-04-06 19:00:00,556
32,2016-04-06 19:10:00,557
33,2016-04-06 19:20:00,558
34,2016-04-06 19:30:00,559
35,2016-04-06 19:40:00,560
36,2016-04-06 19:50:00,561
37,2016-04-06 20:00:00,562
38,2016-04-06 20:10:00,563
39,2016-04-06 20:20:00,564
40,2016-04-06 20:30:00,565
41,2016-04-06 20:40:00,566
42,2016-04-06 20:50:00,567
43,2016-04-06 21:00:00,568
44,2016-04-06 21:10:00,569
45,2016-04-06 21:20:00,570
46,2016-04-06 21:30:00,571
47,2016-04-06 21:40:00,572
48,2016-04-06 21:50:00,573
49,2016-04-06 22:00:00,574
50,2016-04-06 22:10:00,575
51,2016-04-06 22:20:00,576
52,2016-04-06 22:30:00,577
53,2016-04-06 22:40:00,578
54,2016-04-06 22:50:00,579
55,2016-04-06 23:00:00,580
56,2016-04-06 23:10:00,581
57,2016-04-06 23:20:00,582
58,2016-04-06 23:30:00,583
59,2016-04-06 23:40:00,584
60,2016-04-06 23:50:00,585
61,2016-04-07 00:00:00,586
62,2016-04-07 00:10:00,587
63,2016-04-07 00:20:00,588
64,2016-04-07 00:30:00,589
65,2016-04-07 00:40:00,590
66,2016-04-07 00:50:00,591
67,2016-04-07 01:00:00,592
68,2016-04-07 01:10:00,593
69,2016-04-07 01:20:00,594
70,2016-04-07 01:30:00,595
71,2016-04-07 01:40:00,596
72,2016-04-07 01:50:00,597
73,2016-04-07 02:00:00,598
74,2016-04-07 02:10:00,599
75,2016-04-07 02:20:00,600
76,2016-04-07 02:30:00,601
77,2016-04-07 02:40:00,602
78,2016-04-07 02:50:00,603
79,2016-04-07 03:00:00,604
80,2016-04-07 03:10:00,605
81,2016-04-07 03:20:00,606
82,2016-04-07 03:30:00,607
83,2016-04-07 03:40:00,608
84,2016-04-07 03:50:00,609
85,2016-04-07 04:00:00,610
86,2016-04-07 04:10:00,611
87,2016-04-07 04:20:00,612
88,2016-04-07 04:30:00,613
89,2016-04-07 04:40:00,614
90,2016-04-07 04:50:00,615
91,2016-04-07 05:00:00,616
92,2016-04-07 05:10:00,617
93,2016-04-07 05:20:00,618
94,2016-04-07 05:30:00,619
95,2016-04-07 05:40:00,620
96,2016-04-07 05:50:00,621
97,2016-04-07 06:00:00,622
98,2016-04-07 06:10:00,623
99,2016-04-07 06:20:00,624
100,2016-04-07 06:30:00,625
101,2016-04-07 06:40:00,626
102,2016-04-07 06:50:00,627
103,2016-04-07 07:00:00,628
104,2016-04-07 07:10:00,629
105,2016-04-07 07:20:00,630
106,2016-04-07 07:30:00,631
107,2016-04-07 07:40:00,632
108,2016-04-07 07:50:00,633
109,2016-04-07 08:00:00,634
110,2016-04-07 08:10:00,635
111,2016-04-07 08:20:00,636
112,2016-04-07 08:30:00,637
113,2016-04-07 08:40:00,638
114,2016-04-07 08:50:00,639
115,2016-04-07 09:00:00,640
116,2016-04-07 09:10:00,641
117,2016-04-07 09:20:00,642
118,2016-04-07 09:30:00,643
